PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,"13,82,837","10,63,730",0.779,58560,0.055
Agra,18,SC,Uttar Pradesh [2000 Onwards],Satyapal Singh Baghel,Bharatiya Janta Party,"18,66,262","11,45,323",0.617,"2,11,546",0.185
Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,"17,93,677","12,03,797",0.673,"2,81,474",0.234
Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,"17,13,598","11,16,367",0.657,"4,34,330",0.389
Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,"15,80,673","9,97,024",0.64,"3,21,546",0.323
Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,"18,44,532","12,62,214",0.69,"4,16,424",0.33
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,"17,14,490","10,25,314",0.603,"2,75,142",0.268
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"17,57,645","11,19,440",0.642,"2,75,596",0.246
Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),"12,98,061","10,88,728",0.843,10474,0.01
Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,"12,19,063","10,18,743",0.842,"1,58,968",0.156
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,"18,47,005","11,63,184",0.633,"2,29,261",0.197
Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,"15,27,563","13,80,217",0.917,"2,43,989",0.177
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Rita Bahuguna Joshi,Bharatiya Janta Party,"16,79,883","8,89,056",0.534,"1,84,275",0.207
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"12,87,611","6,94,472",0.551,"2,32,986",0.335
Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,"20,59,180","12,65,674",0.617,"3,29,971",0.261
Amalapuram,7,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,"11,56,280","12,32,895",1.081,39795,0.032
Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"17,57,524","13,16,235",0.753,"3,42,345",0.26
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Ritesh Pandey,Bahujan Samaj Party,"17,44,287","10,90,152",0.632,95880,0.088
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Smriti Irani,Bharatiya Janta Party,"17,03,510","9,42,453",0.556,55120,0.058
Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,"17,52,097","11,12,385",0.638,36951,0.033
Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,"16,02,346","9,09,167",0.578,"2,01,431",0.222
Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,"14,68,972","8,59,513",0.591,99626,0.116
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kunwar Danish Ali,Bahujan Samaj Party,"15,96,897","11,69,182",0.736,63248,0.054
Anakapalli,5,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,"13,97,335","12,38,491",0.911,89192,0.072
Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,"16,14,307","11,08,661",0.698,"1,97,718",0.178
Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,"16,48,822","10,81,727",0.667,46884,0.043
Anantapur,19,,Andhra Pradesh [2014 Onwards],Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,"14,89,758","13,42,306",0.912,"1,41,428",0.105
Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,"13,01,023","1,24,896",0.097,6676,0.053
Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,"2,69,360","2,07,296",0.775,1407,0.007
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,"17,50,190","10,52,795",0.607,"1,13,743",0.108
Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,"14,61,110","11,78,060",0.815,"3,28,956",0.279
Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,"16,31,133","14,71,981",0.915,1142,0.001
Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,"14,07,725","11,43,907",0.825,"2,30,806",0.202
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"14,69,717","11,69,630",0.81,"1,37,241",0.117
